article_global_id,db_id,article_id,article_year,Authors,Author.s..ID,Title,Source.title,Volume,Issue,Page.start,Page.end,Index.Keywords,Funding.Details,Funding.Text.1,Funding.Text.2,Funding.Text.3,PubMed.ID,Open.Access,citations_2016,citations_2021,nb_authors
10.1093/nar/gkm959,MBDC0232,1684,2008,"Halees A.S., El-badrawi R., Khabar K.S.A.",6507087082;23476893000;7003517019;,ARED Organism: Expansion of ARED reveals AU-rich element cluster variations between human and mouse,Nucleic Acids Research,36,SUPPL. 1,D137,D140,"adenosine phosphate; messenger RNA; transcriptome; uridine phosphate; 3' untranslated region; ARED Organism database; article; controlled study; gene cluster; gene sequence; genetic conservation; genetic database; genetic difference; genetic transcription; genetic variability; genomics; human; Internet; mouse; nonhuman; priority journal; quantitative analysis; rat; RNA stability; 3' Untranslated Regions; Adenine; Animals; Base Sequence; Conserved Sequence; Databases, Nucleic Acid; Genomics; Humans; Internet; Mice; Uridine; Animalia; Rattus","King Abdulaziz City for Science and Technology, KACST: AP-24-56",The work was supported by King Abdelaziz City for Science and Technology (KACST; grant AP-24-56 to K.S.A.K). We thank Dr Edward Hitti for reading the manuscript. Funding to pay the Open Access publication charges for this article was provided by KACST.,NA,NA,17984078,"All Open Access, Gold, Green",70,105,3
10.1093/nar/gkg032,NAR9033,872,2003,"Urbance J.W., Cole J., Saxman P., Tiedje J.M.",6603648462;7403376690;6506065272;7102334551;,BSD: The Biodegradative Strain Database,Nucleic Acids Research,31,1,152,155,"xenobiotic agent; access to information; bacterial strain; biocatalyst; biodegradation; Biodegradative Strain Database; bioremediation; biotransformation; dangerous goods; information processing; Internet; medical information; microbial contamination; microbial identification; nonhuman; phylogeny; priority journal; review; sequence database; Bacteria; Biodegradation, Environmental; Databases, Factual; Hazardous Substances; Information Storage and Retrieval; Internet; Phylogeny; Bacteria (microorganisms)",NA,NA,NA,NA,12519970,"All Open Access, Bronze, Green",15,19,4
10.1093/nar/gkr796,MBDC1504,2377,2012,"Witney A.A., Waldron D.E., Brooks L.A., Tyler R.H., Withers M., Stoker N.G., Wren B.W., Butcher P.D., Hinds J.",6701806139;7006279984;57202628205;55250990200;36496111800;7005862690;7101805466;7102781522;7005077705;,BμG@Sbase - A microbial gene expression and comparative genomic database,Nucleic Acids Research,40,D1,D605,D609,"article; Bacterial Microarray Group at St George; comparative study; computer interface; content analysis; data analysis software; data mining; DNA integration; DNA microarray; gene expression; genetic analysis; genetic database; microarray analysis; microbial community; microbial genetics; nonhuman; online system; priority journal; process design; system analysis; Databases, Genetic; Gene Expression; Gene Expression Profiling; Genome, Bacterial; Genomics; Molecular Sequence Annotation; Oligonucleotide Array Sequence Analysis; User-Computer Interface","062511, 080039, 086547

Wellcome Trust, WT

Medical Research Council, MRC: G0300020","The Wellcome Trust under a Functional Genomics Resources Initiative and a Biomedical Resources grant (grant numbers 062511, 080039, 086547). Funding for open access charges: The Wellcome Trust.",NA,NA,21948792,"All Open Access, Gold, Green",1,2,9
10.1093/nar/gkm828,NAR9298,1620,2008,"Foat B.C., Tepper R.G., Bussemaker H.J.",6506371660;57198152650;6701866068;,TransfactomeDB: A resource for exploring the nucleotide sequence specificity and condition-specific regulatory activity of trans -acting factors,Nucleic Acids Research,36,SUPPL. 1,D125,D131,"DNA binding protein; RNA binding protein; trans acting factor; algorithm; article; binding affinity; data base; gene control; gene expression profiling; genome; information processing; Internet; nucleotide sequence; physical model; priority journal; regression analysis; Saccharomyces cerevisiae; TransfactomeDB; Binding Sites; Databases, Nucleic Acid; DNA-Binding Proteins; Gene Expression Profiling; Genome, Fungal; Internet; Regulatory Sequences, Nucleic Acid; RNA-Binding Proteins; Saccharomyces cerevisiae; Saccharomyces cerevisiae Proteins; User-Computer Interface; Saccharomyces cerevisiae","National Institutes of Health, NIH

National Human Genome Research Institute, NHGRI: R01HG003008

National Cancer Institute, NCI: U54CA121852

National Institute of General Medical Sciences, NIGMS: T32GM008798",This work was supported by National Institutes of Health (NIH) training grant T32GM008798 (B.C.F.) and grants R01HG003008 and U54CA121852 (to H.J.B.). We thank Gabor Halasz and Lucas Ward for critical readings of the article. Funding to pay the Open Access publication charges for this article was provided by NIH.,NA,NA,17947326,"All Open Access, Gold, Green",15,16,3
10.1093/nar/gkr915,MBDC1472,2344,2012,"Jadeau F., Grangeasse C., Shi L., Mijakovic I., Deléage G., Combet C.",25627819100;6603563139;54390095700;8325215500;55909482900;6602975346;,BYKdb: The Bacterial protein tYrosine Kinase database,Nucleic Acids Research,40,D1,D321,D324,"protein tyrosine kinase; algorithm; amino acid sequence; article; automation; bacterial tyrosine kinase database; computer interface; information retrieval; information service; Internet; priority journal; protein database; protein structure; sequence analysis; Bacteria; Bacterial Proteins; Databases, Protein; Molecular Sequence Annotation; Protein-Tyrosine Kinases; Sequence Analysis, Protein; User-Computer Interface","GIS IBiSA

Agence Nationale de la Recherche, ANR: ANR-07-JCJC0125-01 BACTYRKIN","BYKdb is funded by the Agence Nationale de la Recherche (ANR-07-JCJC0125-01 BACTYRKIN) and the Pôle Rhône-Alpes de BioInformatique (PRABI) platform by the Groupement d’Intérêt Scientifique Infrastructures en Biologie, Santé et Agronomie (GIS IBiSA). Funding for open access charge: Agence Nationale de la Recherche (ANR-07-JCJC0125-01 BACTYRKIN).",NA,NA,22080550,"All Open Access, Gold, Green",14,20,6
10.1093/nar/gkn731,NAR9245,1759,2009,"Everett L., Vo A., Hannenhalli S.",23495887700;25932356900;6603889650;,"PTM-Switchboard - A database of posttranslational modifications of transcription factors, the mediating enzymes and target genes",Nucleic Acids Research,37,SUPPL. 1,D66,D71,"cyclic AMP dependent protein kinase; cyclic AMP responsive element binding protein binding protein; mitogen activated protein kinase; transcription factor; access to information; article; computer prediction; data collection method; downstream processing; gene control; gene mapping; gene targeting; genetic transcription; human; information storage; Internet; literature; mathematical computing; nonhuman; priority journal; protein database; protein processing; quality control; quantitative analysis; Saccharomyces cerevisiae; sampling; transcription regulation; Databases, Genetic; Gene Expression Regulation, Fungal; Mitogen-Activated Protein Kinases; Protein Processing, Post-Translational; Saccharomyces cerevisiae; Saccharomyces cerevisiae Proteins; Transcription Factors; Mammalia; Saccharomyces cerevisiae","National Human Genome Research Institute, NHGRI: T32HG000046

National Institute of General Medical Sciences, NIGMS: R01GM085226, R21GM078203","The National Institutes of Health (R21GM078203, R01GM085226, T32HG000046). Funding for open access charge: R21GM078203.",NA,NA,18927104,"All Open Access, Gold, Green",10,13,3
10.1093/nar/gkq1102,MBDC1401,2057,2011,"Sun S., Chen J., Li W., Altintas I., Lin A., Peltier S., Stocks K., Allen E.E., Ellisman M., Grethe J., Wooley J.",55479096200;37664668900;35327399900;6505855259;36856347200;6701428016;6603609002;7202717583;7102020469;6506163953;7006576840;,Community cyberinfrastructure for advanced microbial ecology research and analysis: The CAMERA resource,Nucleic Acids Research,39,SUPPL. 1,D546,D551,"access to information; article; computer interface; data base; gene sequence; genome analysis; habitat; information processing; information retrieval; Internet; metagenome; metagenomics; microbial community; molecular ecology; physical chemistry; priority journal; sequence analysis; Databases, Genetic; Environment; Metagenome; Metagenomics; Software","National Science Foundation, NSF: 0722079, OCI-0722079

National Institutes of Health, NIH

U.S. Department of Energy, USDOE: DE-FC02-01ER25486

National Center for Research Resources, NCRR: R01RR025030

Gordon and Betty Moore Foundation, GBMF","Gordon and Betty Moore Foundation; National Center for Research Resources (NCRR), National Institutes of Health (grant R01RR025030); National Science Foundation SDCI Award (OCI-0722079 to Kepler/ CORE); Department of Energy grant (DE-FC02-01ER25486 to SciDAC/SDM). Funding for open access charge: Gordon and Betty Moore Foundation.",NA,NA,21045053,"All Open Access, Gold, Green",185,237,11
10.1093/nar/gku1075,MBDC0651,2894,2015,"Forbes S.A., Beare D., Gunasekaran P., Leung K., Bindal N., Boutselakis H., Ding M., Bamford S., Cole C., Ward S., Kok C.Y., Jia M., De T., Teague J.W., Stratton M.R., McDermott U., Campbell P.J.",7102524551;35236143300;35344692900;37665260800;35344670800;6507344214;56939801700;12038973700;7202468431;52264871400;23477430000;23766297200;57217344051;57222378361;7004406099;57212335795;35397659000;,COSMIC: Exploring the world's knowledge of somatic mutations in human cancer,Nucleic Acids Research,43,D1,D805,D811,"tumor marker; access to information; accuracy; Article; copy number variation; correlation analysis; COSMIC database; gene expression; gene fusion; gene mutation; gene rearrangement; genetic database; genetic variability; human; human genome; information processing; Internet; malignant neoplastic disease; medical research; phenotype; point mutation; priority journal; scientific literature; somatic mutation; systematic review; tumor gene; web browser; genetics; mutation; neoplasm; nucleic acid database; tumor gene; Databases, Nucleic Acid; Genes, Neoplasm; Genome, Human; Humans; Internet; Mutation; Neoplasms","Wellcome Trust, WT","Wellcome Trust [077012/Z/05/Z]. We acknowledge additional support via collaborative relationships with Bayer Pharmaceuticals, AstraZeneca and Cancer Research Technology. Funding for open access charge: Wellcome Trust programme grant. Conflict of interest statement. None declared.",NA,NA,25355519,"All Open Access, Gold, Green",440,1575,17
10.1093/nar/gkr881,MBDC1531,2243,2012,"Halling-Brown M.D., Bulusu K.C., Patel M., Tym J.E., Al-Lazikani B.",23094561900;56720433700;56192904900;55249987200;57208611994;,canSAR: An integrated cancer public translational research and drug discovery resource,Nucleic Acids Research,40,D1,D947,D956,"access to information; article; cancer research; canSAR; chemical analysis; computer interface; drug research; drug targeting; factual database; gene amplification; gene expression; priority journal; protein interaction; RNA interference; Antineoplastic Agents; Cell Line, Tumor; Databases, Genetic; Drug Discovery; Gene Expression; Genetic Variation; Humans; Internet; Models, Molecular; Neoplasms; Protein Interaction Maps; RNA Interference; Systems Integration; Translational Medical Research","Cancer Research UK, CRUK

Institute of Cancer Research, ICR: C309/A8274","canSAR is running on an Apache web server implemented in PHP, Javascript, Perl and Java. The data reside in an Oracle 11g database. Chemical compound search and handling is supported by the Accelrys direct cartridge. The data processing pipelines are written in Perl, Python and Java and utilize Openbabel, CDK (41) and Pipeline Pilot (Accelrys Inc).",NA,NA,22013161,"All Open Access, Gold, Green",36,55,5
10.1093/nar/gkt1182,MBDC1531,2661,2014,"Bulusu K.C., Tym J.E., Coker E.A., Schierz A.C., Al-Lazikani B.",56720433700;55249987200;55991710100;56608110400;57208611994;,CanSAR: Updated cancer research and drug discovery knowledgebase,Nucleic Acids Research,42,D1,D1040,D1047,"article; cancer cell culture; cancer research; canSAR database; cellular distribution; data analysis; drug research; gene mutation; Internet; knowledge base; ligand binding; priority journal; Protein Data Bank; protein expression; protein family; protein function; protein structure; proteomics; systems biology; three dimensional imaging; translational research; web browser; chemistry; classification; drug development; genetic database; genetics; human; knowledge base; metabolism; mutation; neoplasm; protein analysis; protein conformation; tumor cell line; amino acid sequence; Article; cancer cell line; canSAR; chemical structure; copy number variation; gene expression; online system; protein interaction; RNA interference; antineoplastic agent; protein; Antineoplastic Agents; Cell Line, Tumor; Databases, Genetic; Drug Discovery; Humans; Internet; Knowledge Bases; Mutation; Neoplasms; Protein Conformation; Protein Interaction Mapping; Proteins; Translational Medical Research","C309/ A11566

Cancer Research UK, CRUK",This work is funded though Cancer Research UK core funding to the Cancer Therapeutics Unit grant number [C309/A11566]. Funding for open access charge: [C309/ A11566].,NA,NA,24304894,"All Open Access, Gold, Green",30,55,5
10.1093/nar/gkv1030,MBDC1531,2944,2016,"Tym J.E., Mitsopoulos C., Coker E.A., Razaz P., Schierz A.C., Antolin A.A., Al-Lazikani B.",55249987200;6508208267;55991710100;57190046022;56608110400;57064154000;57208611994;,canSAR: An updated cancer research and drug discovery knowledgebase,Nucleic Acids Research,44,D1,D938,D943,"access to information; Article; cancer cell line; cancer research; canSAR database; copy number variation; drug development; drug sensitivity; gene expression; gene mutation; Internet; knowledge base; priority journal; animal; chemistry; clinical trial (topic); drug development; genetics; human; metabolism; neoplasm; tumor cell line; antineoplastic agent; tumor protein; Animals; Antineoplastic Agents; Cell Line, Tumor; Clinical Trials as Topic; Drug Discovery; Gene Expression; Humans; Knowledge Bases; Neoplasm Proteins; Neoplasms","C309/A11566

Seventh Framework Programme, FP7: 600388

Generalitat de Catalunya

Agència per a la Competitivitat de l’Empresa","CancerResearchUKcore funding to the Cancer Therapeutics Unit [C309/A11566]. Funding for open access charge: CancerResearchUKcore funding to the Cancer Therapeutics Unit [C309/A11566].Albert A. Antolin is funded by the People Programme (Marie CurieActions) of the 7th Framework Programme of the European Union (FP7/2007-2013) under REA grant agreement no. 600388 (TECNIOspring programme), and from the Agency of Business Competitiveness of the Government of Catalonia, ACCIO.",NA,NA,26673713,"All Open Access, Gold, Green",3,55,7
10.1093/nar/gkj125,MBDC0829,1262,2006,"Pugalenthi G., Bhaduri A., Sowdhamini R.",6505947451;7102333856;7003686031;,iMOTdb--a comprehensive collection of spatially interacting motifs in proteins.,Nucleic acids research,34,Database issue,D285,286,"article; computer interface; Internet; nucleotide sequence; protein database; protein motif; sequence analysis; Amino Acid Motifs; Conserved Sequence; Databases, Protein; Internet; Sequence Analysis, Protein; User-Computer Interface",NA,NA,NA,NA,16381866,"All Open Access, Gold, Green",1,2,3
10.1093/nar/gkt1014,MBDC1685,2657,2014,"Mutt E., Mathew O.K., Sowdhamini R.",35753430300;55604441200;57210222753;,LenVarDB: Database of length-variant protein domains,Nucleic Acids Research,42,D1,D246,D250,"access to information; amino acid sequence; amino acid substitution; article; indel mutation; information retrieval; LenVarDB database; priority journal; protein database; protein domain; sequence alignment; sequence analysis; sequence homology; statistical analysis; web browser; chemical structure; classification; genetic variability; genetics; indel mutation; Internet; protein tertiary structure; Article; computer program; gene deletion; gene insertion; prediction; protein analysis; protein family; protein function; protein structure; protein; Databases, Protein; Genetic Variation; INDEL Mutation; Internet; Models, Molecular; Protein Structure, Tertiary; Proteins; Sequence Alignment; Sequence Analysis, Protein","Department of Biotechnology, Ministry of Science and Technology, India, DBT","E.M. is supported by DBT-BINC grant funded by Department of Biotechnology, India. O.K.M. thanks the Vice Chancellor of SASTRA University for encouragement and support. The authors also thank NCBS (TIFR) for infrastructural support and Dr N. Srinivasan and Dr Abhijit Mitra for helpful discussions.","Funding for open access charge: Centre for Excellence [BT/01/09] supported by Department of Biotechnology, India.",NA,24194591,"All Open Access, Gold, Green",3,4,3
10.1093/nar/gkm794,MBDC1094,1692,2008,"Pugalenthi G., Suganthan P.N., Sowdhamini R., Chakrabarti S.",6505947451;7003996538;7003686031;57203076265;,MegaMotifBase: A database of structural motifs in protein families and superfamilies,Nucleic Acids Research,36,SUPPL. 1,D218,D221,"amino acid; access to information; amino acid sequence; article; genetic conservation; hydrogen bond; Internet; MegaMotifBase; priority journal; protein analysis; protein database; protein family; protein function; protein motif; protein structure; sequence alignment; sequence homology; Amino Acid Motifs; Amino Acid Sequence; Conserved Sequence; Databases, Protein; Internet; Proteins; Sequence Analysis, Protein; Structural Homology, Protein","Wellcome Trust, WT

Agency for Science, Technology and Research, A*STAR

Tata Institute of Fundamental Research, TIFR

National Centre for Biological Sciences, NCBS","G.P. and P.N.S. acknowledge the financial support offered by A*Star (Agency for Science, Technology and Research). R.S. acknowledges Wellcome Trust, UK and National Centre for Biological Sciences (TIFR) for financial and infrastructural support. S.C. acknowledges Intramural Research Program of the National Library of Medicine at NIH/DHHS. Funding to pay the Open Access publication charges for this article was provided by Wellcome Trust, U.K.",NA,NA,17933773,"All Open Access, Gold, Green",17,21,4
10.1093/nar/gkr1096,MBDC0275,2282,2012,"Gandhimathi A., Nair A.G., Sowdhamini R.",12796624400;56079366500;57210222753;,PASS2 version 4: An update to the database of structure-based sequence alignments of structural domain superfamilies,Nucleic Acids Research,40,D1,D531,D534,"riboflavin synthase; access to information; article; automation; computer interface; human computer interaction; information processing; PASS2 version 4 database; priority journal; protein analysis; protein database; protein domain; sequence alignment; structure based sequence alignment; Databases, Protein; Protein Structure, Tertiary; Proteins; Riboflavin Synthase; Sequence Alignment","Department of Biotechnology, Ministry of Science and Technology, India, DBT

Council of Scientific and Industrial Research, India, CSIR

National Centre for Biological Sciences, NCBS","A.G is supported by Senior Research Fellowship from the Council of Scientific and Industrial Research (CSIR) Government of India. We thank Dr Kanagarajadurai and Ms. S. Kalaimathy for helpful discussions. We thank Department of Biotechnology, India and NCBS for financial and infrastructural support.",NA,NA,22123743,"All Open Access, Gold, Green",9,13,3
10.1093/nar/gkv1205,MBDC0275,2959,2016,"Gandhimathi A., Ghosh P., Hariharaputran S., Mathew O.K., Sowdhamini R.",12796624400;57210550836;15843368800;55604441200;57210222753;,PASS2 database for the structure-based sequence alignment of distantly related SCOP domain superfamilies: Update to version 5 and added features,Nucleic Acids Research,44,D1,D410,D414,"Article; computer program; data base; PASS2 database; priority journal; protein assembly; protein domain; protein family; protein structure; sequence alignment; chemistry; classification; gene ontology; genetics; protein database; protein tertiary structure; protein; Databases, Protein; Gene Ontology; Protein Structure, Tertiary; Proteins; Sequence Alignment",NA,NA,NA,NA,26553811,"All Open Access, Gold, Green",1,3,5
10.1093/nar/gkq765,MBDC1303,2145,2011,"Lu J., Peatman E., Yang Q., Wang S., Hu Z., Reecy J., Kucuktas H., Liu Z.",57190738356;8908629500;35782442700;54416773400;24075630100;6601988911;6602891265;13008690300;,The catfish genome database cBARBEL: An informatic platform for genome biology of ictalurid catfish,Nucleic Acids Research,39,SUPPL. 1,D815,D821,"access to information; article; catfish; catfish Breeder And Researcher Bioinformatics Entry Location; chromosome analysis; contig mapping; controlled study; expressed sequence tag; fish genetics; functional genomics; genetic database; genetic linkage; genetic similarity; molecular biology; nonhuman; online system; priority journal; quantitative trait locus; sequence analysis; single nucleotide polymorphism; zebra fish; Animals; Catfishes; Chromosome Mapping; Databases, Genetic; Expressed Sequence Tags; Genetic Linkage; Genome; Genomics; Sequence Homology, Nucleic Acid; Software; Danio rerio; Ictaluridae; Ictalurus","National Institute of Food and Agriculture, NIFA",The USDA’s National Institute of Food and Agriculture; a scholarship from the Chinese Scholarship Council (to J.L.); and a scholarship from Alabama EPSCoR Graduate Research Scholar’s Program (to J.L.). Funding for open access charge: Discretionary Lab funds.,NA,NA,20935046,"All Open Access, Gold, Green",21,28,8
10.1093/nar/gkj057,MBDC0472,1233,2006,"Yeats C., Maibaum M., Marsden R., Dibley M., Lee D., Addou S., Orengo C.A.",55991503600;8889226300;8384502200;8602299300;36071667600;8602299600;7006781333;,"Gene3D: modelling protein structure, function and evolution.",Nucleic acids research,34,Database issue,D281,284,"protein; proteome; article; chemical structure; chemistry; computer interface; genetics; genomics; Internet; molecular evolution; physiology; protein database; protein tertiary structure; sequence analysis; Databases, Protein; Evolution, Molecular; Genomics; Internet; Models, Molecular; Protein Structure, Tertiary; Proteins; Proteome; Sequence Analysis, Protein; User-Computer Interface; MLCS; MLOWN",NA,NA,NA,NA,16381865,"All Open Access, Gold, Green",33,45,7
10.1093/nar/27.1.301,NAR9019,426,1999,"Gelfand M.S., Dubchak I., Dralyuk I., Zorn M.",7201803297;7004361127;20834059600;7005745912;,ASDB: Database of alternatively spliced genes,Nucleic Acids Research,27,1,301,302,"protein; alternative RNA splicing; amino acid sequence; cluster analysis; data base; gene expression; genetic transcription; internet; nonhuman; priority journal; short survey; Alternative Splicing; Animals; Databases, Factual; Humans; Information Storage and Retrieval; Internet; Mutation; Protein Isoforms; Sequence Alignment","94-04-123330

Russian Foundation for Basic Research, RFBR: 97-04-49040","This work was supported by the Director, Office of Energy Research, Office of Biological and Environmental Research, of the US Department of Energy under Contract No. DE-ACO3-76SF00098. M.G. is partially supported by grants from the Russian Fund of Basic Research (97-04-49040), Russian State Program ‘Human Genome’, and USA Department of Energy (94-04-123330).",NA,NA,9847209,"All Open Access, Bronze, Green",18,18,4
10.1093/nar/28.1.296,NAR9019,479,2000,"Dralyuk I., Brudno M., Gelfand M.S., Zorn M., Dubchak I.",20834059600;55979741800;7201803297;7005745912;7004361127;,ASDB: Database of alternatively spliced genes,Nucleic Acids Research,28,1,296,297,alternative RNA splicing; data base; DNA sequence; priority journal; short survey,NA,NA,NA,NA,10592252,"All Open Access, Bronze, Green",44,46,5
10.1093/nar/gkt952,MBDC1674,2723,2014,"Wethmar K., Barbosa-Silva A., Andrade-Navarro M.A., Leutz A.",6507299644;12647563900;12761743200;56248432400;,UORFdb - A comprehensive literature database on eukaryotic uORF biology,Nucleic Acids Research,42,D1,D60,D67,"article; data processing; eukaryote; human; Medline; nonhuman; nucleic acid database; nucleotide sequence; open reading frame; priority journal; ribosome; RNA translation; upstream open reading frame database; alternative RNA splicing; animal; diseases; genetic variability; genetics; Internet; metabolism; mouse; nonsense mediated mRNA decay; promoter region; protein synthesis; RNA stability; access to information; Article; data base; information processing; information retrieval; publication; translation regulation; messenger RNA; Alternative Splicing; Animals; Databases, Nucleic Acid; Disease; Genetic Variation; Humans; Internet; Mice; Nonsense Mediated mRNA Decay; Open Reading Frames; Promoter Regions, Genetic; Protein Biosynthesis; Ribosomes; RNA Stability; RNA, Messenger; Eukaryota",NA,NA,NA,NA,24163100,"All Open Access, Gold, Green",18,47,4
10.1093/nar/gkr967,MBDC1524,2249,2012,"Cowley M.J., Pinese M., Kassahn K.S., Waddell N., Pearson J.V., Grimmond S.M., Biankin A.V., Hautaniemi S., Wu J.",14017645300;24832485900;16175628600;57202553639;9237952400;35377949300;6602158065;56210433500;55713817900;,PINA v2.0: Mining interactome modules,Nucleic Acids Research,40,D1,D862,D865,"proteome; article; bioinformatics; Caenorhabditis elegans; Drosophila melanogaster; human; information processing; nonhuman; priority journal; protein database; protein domain; Protein Interaction Network Analysis v2.0; protein protein interaction; Saccharomyces cerevisiae; species differentiation; web browser; Algorithms; Animals; Cluster Analysis; Computer Graphics; Data Mining; Databases, Protein; Humans; Mice; Molecular Sequence Annotation; Protein Interaction Mapping; Proteins; Rats; Software","ICGC 09-01, SRP11-01

10/CRF/ 1-01

National Health and Medical Research Council, NHMRC: 631701

Academy of Finland: 125826","Cancer Council New South Wales, Australia (grant SRP11-01, ICGC 09-01); National Health and Medical Research Council, Australia (grant 631701); Cancer Institute New South Wales, Australia (grant 10/CRF/ 1-01 to A.V.B); Academy of Finland (grant 125826); Avner Nahmani Pancreatic Cancer Foundation; R. T. Hall Trust. Funding for open access charge: Cancer Council New South Wales, Australia (grant ICGC 09-01).",NA,NA,22067443,"All Open Access, Gold, Green",98,218,9
10.1093/nar/gkh091,MBDC0483,986,2004,"Sherman D., Durrens P., Beyne E., Nikolski M., Souciet J.-L.",7401446308;6701874325;35593050000;6506606989;7004258903;,G�nolevures: Comparative genomics and molecular evolution of hemiascomycetous yeasts,Nucleic Acids Research,32,DATABASE ISS.,D315,D318,"article; Candida glabrata; chromosome structure; computer system; Debaryomyces hansenii; fungal gene; gene sequence; genetic conservation; genetic database; Genolevures database; genome analysis; information processing; Internet; Kluyveromyces; molecular evolution; multigene family; nonhuman; online system; priority journal; randomization; Saccharomyces cerevisiae; sequence analysis; species; species differentiation; synteny; Yarrowia lipolytica; Computational Biology; Databases, Genetic; Evolution, Molecular; Genome, Fungal; Genomics; Information Storage and Retrieval; Internet; Software; Yeasts; Candida; Candida glabrata; Debaryomyces; Debaryomyces hansenii; Fungi; Kluyveromyces; Kluyveromyces lactis; Myxogastria; Saccharomyces; Saccharomyces cerevisiae; Yarrowia lipolytica",NA,NA,NA,NA,14681422,NA,53,64,5
10.1093/nar/gkj160,MBDC0483,1229,2006,"Sherman D., Durrens P., Iragne F., Beyne E., Nikolski M., Souciet J.L.",7401446308;6701874325;6506906336;35593050000;6506606989;7004258903;,Genolevures complete genomes provide data and tools for comparative genomics of hemiascomycetous yeasts.,Nucleic acids research,34,Database issue,D432,435,"fungal protein; article; chemistry; classification; computer interface; computer program; genetic database; genetics; genome; genomics; Internet; molecular evolution; system analysis; yeast; Databases, Genetic; Evolution, Molecular; Fungal Proteins; Genome, Fungal; Genomics; Internet; Software; Systems Integration; User-Computer Interface; Yeasts",NA,NA,NA,NA,16381905,"All Open Access, Gold, Green",20,40,6
10.1093/nar/gkh114,MBDC0534,994,2004,"Barr� A., de Daruvar A., Blanchard A.",8983284700;6602571893;15730349600;,"MolliGen, a database dedicated to the comparative genomics of Mollicutes",Nucleic Acids Research,32,DATABASE ISS.,D307,D310,"article; bacterial chromosome; bacterial genome; bioinformatics; computer graphics; computer program; computer system; gene sequence; genetic database; genome analysis; Internet; molecular model; Mollicutes; MolliGen; Mycoplasma gallisepticum; Mycoplasma genitalium; Mycoplasma penetrans; Mycoplasma pneumoniae; Mycoplasma pulmonis; nonhuman; nucleotide sequence; orthology; pathogenicity; priority journal; sequence alignment; sequence analysis; sequence homology; Ureaplasma urealyticum; Computational Biology; Databases, Genetic; Genome, Bacterial; Genomics; Information Storage and Retrieval; Internet; Mollicutes; Software; User-Computer Interface; Animalia; Bacteria (microorganisms); Mollicutes; Mycoplasma; Mycoplasma gallisepticum; Mycoplasma genitalium; Mycoplasma penetrans; Mycoplasma pneumoniae; Mycoplasma pulmonis; Prokaryota; Ureaplasma; Ureaplasma parvum; Ureaplasma urealyticum",NA,NA,NA,NA,14681420,NA,53,77,3
10.1093/nar/26.1.288,MBDC0110,326,1998,"Salas F., Haas J., Brunk B., Stoeckert Jr. C.J., Overton G.C.",6701664051;57206418188;7003786925;7003879177;7003613915;,EpoDB: A database of genes expressed during vertebrate erythropoiesis,Nucleic Acids Research,26,1,288,289,"article; cell differentiation; data base; erythropoiesis; gene control; priority journal; Animals; Computer Communication Networks; Databases, Factual; Erythropoiesis; Gene Expression Regulation, Developmental; Software; Vertebrates; Vertebrata","National Institutes of Health, NIH

National Center for Research Resources, NCRR: R01RR004026","This work was supported by a grant number R01-RR04026-07A2 from the National Center for Research Resources, NIH.",NA,NA,9399855,"All Open Access, Bronze, Green",5,5,5
10.1093/nar/gkl811,MBDC0951,1428,2007,"Higgins M.E., Claremont M., Major J.E., Sander C., Lash A.E.",57220715413;24504478900;56268107700;55146122100;7006714136;,CancerGenes: A gene selection resource for cancer genome projects,Nucleic Acids Research,35,SUPPL. 1,D721,D726,"access to information; article; bioinformatics; cancer genetics; cancer risk; carcinogenesis; computer interface; gene sequence; gene structure; genetic database; genetic transcription; genetic variability; human; human genome project; information processing; information retrieval; oncogene; priority journal; somatic mutation; tumor suppressor gene; web browser; Databases, Genetic; Genes, Neoplasm; Genome, Human; Genomics; Humans; Internet; Mutation; Promoter Regions (Genetics); Systems Integration; User-Computer Interface",NA,NA,NA,NA,17088289,"All Open Access, Gold, Green",124,141,5
10.1093/nar/gkl922,MBDC1003,1426,2007,"Zanzoni A., Ausiello G., Via A., Gherardini P.F., Helmer-Citterich M.",6506754151;6603960828;6602979457;15759811500;6603748349;,Phospho3D: A database of three-dimensional structures of protein phosphorylation sites,Nucleic Acids Research,35,SUPPL. 1,D229,D231,"serine; threonine; tyrosine; article; cell activity; computer interface; data analysis; eukaryotic cell; information processing; information retrieval; Internet; Phospho3D database; priority journal; protein database; protein phosphorylation; protein processing; protein structure; structure analysis; three dimensional imaging; Databases, Protein; Internet; Models, Molecular; Phosphoproteins; Phosphorylation; Protein Conformation; User-Computer Interface; Eukaryota","Fondazione Telethon: GGP04273

Associazione Italiana per la Ricerca sul Cancro, AIRC","The authors would like to thank Francesca Diella for support and suggestions and for providing the Phospho.ELM dataset. We acknowledge the support of AIRC, Telethon (GGP04273), a PNR 2001–2003 (FIRB art.8) and a PNR 2003–2007 (FIRB art.8). Funding to pay the Open Access publication charges for this article was provided by AIRC.",NA,NA,17142231,"All Open Access, Gold, Green",29,35,5
